ID|LABEL|POLICY_ID|CLAIMANT_ID|ATTORNEY_ID|AMOUNT|CLAIM_DATE|CAPITAL_GAINS|CAPITAL_LOSS|WITNESSES
D_1337.0|claim|Q_13.49|C_1600|X_33|261.08|2021-01-22|44.41|203.91|5
D_1337.1|claim|Q_13.49|C_1100|X_38|599.27|2021-05-28|708.46|319.28|5
D_1337.2|claim|Q_13.49|C_1100|X_32|184.58|2021-02-21|959.08|637.72|4
D_1337.3|claim|Q_13.49|C_3800|X_41|984.54|2022-03-26|456.24|246.34|2
D_1338.0|claim|Q_13.50|C_800|X_19|167.56|2021-05-02|744.68|321.97|1
D_1338.1|claim|Q_13.50|C_4400|X_44|172.36|2021-06-03|612.26|891.21|2
D_1338.2|claim|Q_13.50|C_300|X_31|630.44|2022-04-20|322.54|547.6|1
D_1339.0|claim|Q_13.51|C_2900|X_20|262.81|2021-06-10|39.24|621.92|2
D_1339.1|claim|Q_13.51|C_2700|X_43|998.46|2021-08-10|704.91|593.64|1
D_1339.2|claim|Q_13.51|C_3300|X_11|119.12|2021-05-08|107.71|689.09|1
D_1340.0|claim|Q_13.52|C_3000|X_38|755.07|2022-01-17|141.15|851.89|1
D_1340.1|claim|Q_13.52|C_3700|X_42|280.94|2021-08-28|858.16|665.33|5
D_1340.2|claim|Q_13.52|C_3100|X_27|812.28|2021-04-24|822.02|607.57|5
D_1340.3|claim|Q_13.52|C_0|X_11|656.8|2021-01-17|129.18|347.8|0
D_1340.4|claim|Q_13.52|C_300|X_1|237.03|2021-06-15|337.39|19.59|1
D_1341.0|claim|Q_13.53|C_2400|X_14|597.55|2021-10-10|371.95|24.24|1
D_1341.1|claim|Q_13.53|C_3000|X_16|363.63|2021-08-20|552.11|682.78|1
D_1341.2|claim|Q_13.53|C_4200|X_0|494.74|2021-09-06|229.28|253.59|3
D_1341.3|claim|Q_13.53|C_1700|X_0|283.02|2021-10-02|644.63|355.58|3
D_1341.4|claim|Q_13.53|C_2600|X_28|988.79|2021-09-01|927.51|470.29|5
D_1343.0|claim|Q_13.55|C_1500|X_14|445.64|2021-07-11|89.01|5.79|5
D_1343.1|claim|Q_13.55|C_900|X_17|592.1|2021-06-22|386.45|226.36|3
D_1343.2|claim|Q_13.55|C_4600|X_43|793.82|2021-12-24|552.02|441.85|5
D_1343.3|claim|Q_13.55|C_300|X_50|469.96|2021-02-06|735.77|137.05|4
D_1343.4|claim|Q_13.55|C_5000|X_42|756.11|2021-10-04|809.67|795.05|4
D_1344.0|claim|Q_13.56|C_1700|X_17|968.35|2021-01-13|750.61|965.19|0
D_1346.0|claim|Q_13.58|C_3400|X_20|591.42|2022-01-13|119.51|894.47|1
D_1346.1|claim|Q_13.58|C_300|X_39|356.87|2021-10-16|153.15|400.46|2
D_1346.2|claim|Q_13.58|C_900|X_32|972.38|2021-02-26|525.92|626.04|3
D_1347.0|claim|Q_13.59|C_0|X_37|917.22|2021-10-01|871.44|64.03|2
D_1347.1|claim|Q_13.59|C_1700|X_7|212.75|2021-06-11|77.8|761.67|0
D_1347.2|claim|Q_13.59|C_2200|X_2|162.24|2021-12-29|816.57|595.85|4
D_1347.3|claim|Q_13.59|C_3300|X_36|735.16|2021-09-15|804.0|212.18|3
D_1347.4|claim|Q_13.59|C_300|X_31|101.07|2021-03-16|547.83|464.22|2
D_1348.0|claim|Q_13.60|C_2500|X_36|154.97|2021-01-07|579.0|492.81|0
D_1348.1|claim|Q_13.60|C_3200|X_25|263.07|2022-02-12|365.14|813.11|0
D_1349.0|claim|Q_13.61|C_1000|X_28|596.94|2021-05-11|536.34|484.88|4
D_1349.1|claim|Q_13.61|C_900|X_49|881.85|2021-06-28|488.36|473.72|0
D_1350.0|claim|Q_13.62|C_1300|X_3|293.95|2021-06-24|39.25|906.96|1
D_1350.1|claim|Q_13.62|C_4500|X_21|168.49|2021-01-28|643.33|551.09|5
D_1350.2|claim|Q_13.62|C_2000|X_41|663.49|2021-04-09|9.08|338.51|5
D_1350.3|claim|Q_13.62|C_700|X_16|591.25|2021-05-13|476.66|302.82|5
D_1351.0|claim|Q_13.63|C_2700|X_45|840.38|2021-01-04|269.34|946.49|2
D_1351.1|claim|Q_13.63|C_3800|X_9|700.22|2022-03-24|955.77|315.21|0
D_1351.2|claim|Q_13.63|C_3800|X_37|892.32|2021-11-15|238.9|133.36|3
D_1351.3|claim|Q_13.63|C_3400|X_9|399.03|2022-02-22|699.5|827.53|1
D_1351.4|claim|Q_13.63|C_4600|X_9|159.51|2021-02-10|911.23|484.07|1
D_1352.0|claim|Q_13.64|C_0|X_43|472.26|2021-08-04|371.19|16.34|1
D_1352.1|claim|Q_13.64|C_4900|X_8|148.67|2021-11-14|755.68|476.15|1
D_1352.2|claim|Q_13.64|C_1400|X_32|674.0|2022-04-09|949.26|601.7|4
D_1352.3|claim|Q_13.64|C_2500|X_41|287.68|2022-02-11|965.31|736.76|0
D_1352.4|claim|Q_13.64|C_3000|X_14|660.34|2021-04-20|409.0|154.67|2
D_1353.0|claim|Q_13.65|C_2500|X_28|687.81|2021-08-01|612.08|206.18|0
D_1353.1|claim|Q_13.65|C_1100|X_32|264.71|2021-01-14|428.7|246.11|5
D_1353.2|claim|Q_13.65|C_500|X_2|372.44|2022-02-13|404.47|712.85|4
D_1353.3|claim|Q_13.65|C_2200|X_36|882.88|2021-03-28|945.48|38.24|5
D_1353.4|claim|Q_13.65|C_3500|X_27|818.59|2022-04-02|819.43|742.16|3
D_1354.0|claim|Q_13.66|C_2600|X_49|833.0|2021-04-05|265.37|730.99|4
D_1354.1|claim|Q_13.66|C_300|X_5|517.58|2022-01-20|880.97|316.0|4
D_1354.2|claim|Q_13.66|C_200|X_22|278.7|2021-10-31|187.49|15.02|5
D_1354.3|claim|Q_13.66|C_1500|X_33|831.81|2021-12-30|377.69|417.08|5
D_1355.0|claim|Q_13.67|C_1100|X_45|245.92|2021-04-19|440.9|117.47|5
D_1355.1|claim|Q_13.67|C_3300|X_20|451.37|2022-03-08|225.84|432.76|2
D_1355.2|claim|Q_13.67|C_100|X_47|162.51|2021-11-18|877.38|204.09|1
D_1355.3|claim|Q_13.67|C_300|X_40|199.09|2022-03-20|936.4|453.4|1
D_1356.0|claim|Q_13.68|C_900|X_19|821.64|2021-01-07|884.88|180.53|1
D_1356.1|claim|Q_13.68|C_1700|X_20|161.87|2021-01-11|809.82|77.96|1
D_1356.2|claim|Q_13.68|C_4000|X_39|452.92|2021-08-04|25.72|607.92|3
D_1356.3|claim|Q_13.68|C_3900|X_50|822.48|2021-11-20|728.69|580.0|0
D_1356.4|claim|Q_13.68|C_4400|X_2|454.95|2021-11-16|470.11|844.17|5
D_1359.0|claim|Q_13.71|C_2700|X_46|340.86|2021-05-13|929.83|82.59|2
D_1360.0|claim|Q_13.72|C_200|X_9|182.37|2022-04-09|764.93|651.81|4
D_1360.1|claim|Q_13.72|C_3500|X_21|674.94|2021-11-13|890.84|12.9|4
D_1360.2|claim|Q_13.72|C_1200|X_21|322.13|2021-12-01|539.71|881.53|0
D_1360.3|claim|Q_13.72|C_1400|X_19|943.32|2022-04-16|346.09|99.1|4
D_1361.0|claim|Q_13.73|C_200|X_21|881.07|2021-09-12|931.89|337.38|1
D_1361.1|claim|Q_13.73|C_2000|X_47|302.63|2021-05-12|546.95|854.84|3
D_1362.0|claim|Q_13.74|C_500|X_49|462.27|2022-01-09|338.54|477.23|3
D_1362.1|claim|Q_13.74|C_2600|X_18|740.36|2021-10-07|140.16|907.99|2
D_1362.2|claim|Q_13.74|C_3300|X_36|930.56|2021-04-21|62.82|123.26|3
D_1362.3|claim|Q_13.74|C_3100|X_18|550.97|2021-04-19|184.56|255.0|3
D_1362.4|claim|Q_13.74|C_2100|X_30|827.1|2021-01-01|306.5|373.6|1
D_1363.0|claim|Q_13.75|C_1600|X_38|745.08|2022-01-14|103.63|866.17|4
D_1363.1|claim|Q_13.75|C_2600|X_23|687.8|2021-07-15|963.06|408.41|5
D_1363.2|claim|Q_13.75|C_4700|X_7|768.6|2021-07-05|189.73|284.53|1
D_1363.3|claim|Q_13.75|C_2000|X_49|551.83|2021-02-16|979.59|202.11|5
D_1364.0|claim|Q_13.76|C_5000|X_46|450.79|2022-02-22|948.87|772.2|4
D_1364.1|claim|Q_13.76|C_3400|X_37|793.83|2021-01-17|106.27|308.57|5
D_1364.2|claim|Q_13.76|C_5000|X_2|308.38|2021-06-17|419.37|659.1|1
D_1365.0|claim|Q_13.77|C_4200|X_25|778.92|2021-04-17|70.2|245.25|1
D_1365.1|claim|Q_13.77|C_4300|X_13|158.01|2022-02-13|535.93|704.65|0
D_1366.0|claim|Q_13.78|C_2400|X_22|638.89|2021-09-02|983.85|535.49|3
D_1366.1|claim|Q_13.78|C_1900|X_7|157.6|2022-02-10|855.25|642.03|1
D_1367.0|claim|Q_13.79|C_3300|X_33|614.03|2022-03-22|805.3|240.4|4
D_1367.1|claim|Q_13.79|C_3700|X_0|840.02|2021-10-15|883.36|395.85|3
D_1368.0|claim|Q_13.80|C_4700|X_6|441.31|2021-11-22|839.24|135.96|4
D_1368.1|claim|Q_13.80|C_1900|X_8|732.79|2021-09-08|188.26|437.81|4
D_1368.2|claim|Q_13.80|C_200|X_34|384.38|2021-10-06|102.13|43.71|5
D_1368.3|claim|Q_13.80|C_3200|X_14|768.19|2022-02-26|524.88|92.56|0
D_1369.0|claim|Q_13.81|C_4100|X_15|122.12|2021-12-04|303.32|125.99|4
D_1369.1|claim|Q_13.81|C_3000|X_37|807.99|2021-07-12|238.68|121.35|0
D_1369.2|claim|Q_13.81|C_3200|X_11|443.7|2022-02-25|726.31|143.98|4
D_1371.0|claim|Q_13.83|C_2200|X_2|923.36|2021-09-12|228.12|196.28|0
D_1372.0|claim|Q_13.84|C_700|X_38|136.5|2021-01-01|473.43|272.59|5
D_1373.0|claim|Q_13.85|C_1200|X_15|458.29|2021-02-21|501.92|722.61|1
D_1373.1|claim|Q_13.85|C_4200|X_19|227.22|2021-05-06|588.46|250.22|4
D_1373.2|claim|Q_13.85|C_1900|X_42|296.38|2021-11-25|383.92|70.47|0
D_1373.3|claim|Q_13.85|C_3500|X_33|674.02|2021-12-09|466.75|911.12|0
D_1373.4|claim|Q_13.85|C_600|X_18|892.7|2021-09-27|949.05|474.73|4
D_1375.0|claim|Q_13.87|C_3500|X_6|986.0|2022-03-25|516.31|915.26|1
D_1376.0|claim|Q_13.88|C_700|X_8|443.86|2021-08-18|509.71|649.85|4
D_1376.1|claim|Q_13.88|C_1500|X_0|660.82|2021-10-25|681.36|824.42|3
D_1376.2|claim|Q_13.88|C_4400|X_19|727.54|2021-06-11|540.56|139.89|0
D_1377.0|claim|Q_13.89|C_4300|X_29|490.1|2021-08-25|46.89|530.33|2
D_1377.1|claim|Q_13.89|C_500|X_0|352.3|2021-11-01|470.71|436.27|3
D_1377.2|claim|Q_13.89|C_1600|X_25|555.48|2021-09-13|655.19|74.26|1
D_1378.0|claim|Q_13.90|C_4700|X_37|971.71|2021-12-09|275.92|241.21|4
D_1379.0|claim|Q_13.91|C_4400|X_28|187.0|2021-10-27|263.94|765.36|0
D_1379.1|claim|Q_13.91|C_1400|X_45|712.22|2021-04-18|21.3|640.99|5
D_1379.2|claim|Q_13.91|C_2700|X_26|933.53|2021-02-25|686.24|672.5|1
D_1381.0|claim|Q_13.93|C_4500|X_36|291.12|2022-02-25|406.52|914.85|1
D_1381.1|claim|Q_13.93|C_4200|X_38|321.38|2021-04-13|125.09|314.1|4
D_1381.2|claim|Q_13.93|C_4700|X_14|807.16|2021-10-12|776.91|280.79|0
D_1381.3|claim|Q_13.93|C_2100|X_18|202.26|2021-08-26|429.11|155.26|0
D_1382.0|claim|Q_13.94|C_2200|X_28|268.14|2021-01-15|831.54|739.0|0
D_1382.1|claim|Q_13.94|C_3600|X_7|584.34|2021-07-10|104.62|135.26|5
D_1382.2|claim|Q_13.94|C_300|X_47|583.64|2022-03-21|73.89|145.84|5
D_1382.3|claim|Q_13.94|C_4000|X_6|504.82|2021-01-08|683.51|125.13|5
D_1383.0|claim|Q_13.95|C_2400|X_38|590.44|2022-03-15|193.24|385.79|0
D_1384.0|claim|Q_13.96|C_3600|X_10|381.18|2021-02-23|933.35|847.23|2
D_1384.1|claim|Q_13.96|C_5000|X_16|249.17|2021-12-21|898.65|825.64|2
D_1385.0|claim|Q_13.97|C_1500|X_48|193.59|2022-03-21|290.81|347.05|5
D_1385.1|claim|Q_13.97|C_2300|X_30|854.06|2021-06-18|962.75|335.13|1
D_1385.2|claim|Q_13.97|C_4700|X_7|519.98|2021-08-18|276.66|628.97|2
D_1385.3|claim|Q_13.97|C_4700|X_2|394.66|2021-10-26|716.85|269.11|1
D_1386.0|claim|Q_13.98|C_3600|X_21|710.4|2021-03-26|774.38|625.07|1
D_1386.1|claim|Q_13.98|C_2900|X_14|697.0|2021-08-20|18.85|901.63|0
D_1386.2|claim|Q_13.98|C_900|X_9|785.49|2021-05-23|764.73|533.26|4
D_1386.3|claim|Q_13.98|C_900|X_31|727.06|2021-04-20|895.75|509.32|5
D_1386.4|claim|Q_13.98|C_4900|X_1|440.67|2022-01-16|22.69|753.55|4
D_1387.0|claim|Q_13.99|C_2400|X_20|523.1|2021-10-31|335.62|370.44|3
D_1387.1|claim|Q_13.99|C_3500|X_24|697.6|2021-01-27|164.64|823.37|2
D_1387.2|claim|Q_13.99|C_2900|X_45|552.06|2021-12-31|751.95|975.84|4
D_1388.0|claim|Q_14.1|C_4100|X_5|274.91|2022-03-10|74.37|127.63|2
D_1388.1|claim|Q_14.1|C_4000|X_50|872.35|2021-10-02|968.25|904.37|2
D_1389.0|claim|Q_14.2|C_3600|X_45|165.3|2021-05-25|544.13|169.64|4
D_1389.1|claim|Q_14.2|C_2900|X_37|110.76|2022-01-15|989.1|104.97|4
D_1389.2|claim|Q_14.2|C_1700|X_42|776.29|2021-12-01|280.79|838.11|3
D_1390.0|claim|Q_14.3|C_300|X_43|689.39|2021-02-21|914.35|358.17|3
D_1390.1|claim|Q_14.3|C_100|X_35|168.4|2021-01-12|840.56|545.06|2
D_1390.2|claim|Q_14.3|C_2100|X_34|924.11|2021-03-02|881.39|963.49|1
D_1390.3|claim|Q_14.3|C_4400|X_33|230.29|2021-02-25|611.5|815.07|5
D_1390.4|claim|Q_14.3|C_3300|X_12|159.37|2021-07-09|500.97|946.18|3
D_1391.0|claim|Q_14.4|C_3500|X_4|528.3|2021-08-26|71.72|656.36|4
D_1391.1|claim|Q_14.4|C_3500|X_26|481.56|2021-12-08|540.76|117.17|2
D_1391.2|claim|Q_14.4|C_800|X_27|731.05|2021-07-09|5.64|22.48|3
D_1392.0|claim|Q_14.5|C_4500|X_35|136.96|2021-07-25|562.58|359.73|0
D_1392.1|claim|Q_14.5|C_3000|X_19|273.15|2021-05-29|310.04|595.37|4
D_1392.2|claim|Q_14.5|C_2800|X_24|208.27|2021-03-13|974.02|821.16|4
D_1393.0|claim|Q_14.6|C_2100|X_17|667.83|2021-09-20|353.25|793.77|3
D_1393.1|claim|Q_14.6|C_3900|X_5|454.88|2021-01-10|912.06|726.64|4
D_1393.2|claim|Q_14.6|C_700|X_35|664.65|2021-08-20|201.56|211.3|0
D_1393.3|claim|Q_14.6|C_3500|X_12|566.13|2022-01-09|173.37|498.15|2
D_1394.0|claim|Q_14.7|C_200|X_11|508.85|2021-12-25|226.94|371.87|2
D_1394.1|claim|Q_14.7|C_4900|X_41|727.9|2021-04-03|263.67|639.91|4
D_1394.2|claim|Q_14.7|C_400|X_22|348.14|2021-09-01|982.94|5.58|2
D_1394.3|claim|Q_14.7|C_4200|X_0|573.16|2022-04-27|407.2|552.27|2
D_1395.0|claim|Q_14.8|C_4400|X_42|729.74|2022-03-22|513.27|559.01|4
D_1395.1|claim|Q_14.8|C_0|X_27|341.81|2021-12-18|242.03|226.2|0
D_1395.2|claim|Q_14.8|C_100|X_31|195.38|2021-07-03|884.95|484.68|2
D_1396.0|claim|Q_14.9|C_2700|X_41|825.96|2021-12-20|987.78|773.15|5
D_1396.1|claim|Q_14.9|C_2100|X_14|890.32|2022-03-12|501.09|64.25|4
D_1396.2|claim|Q_14.9|C_3900|X_45|606.0|2021-09-25|998.6|110.77|5
D_1396.3|claim|Q_14.9|C_5000|X_39|201.79|2021-09-21|551.47|73.35|1
D_1396.4|claim|Q_14.9|C_200|X_20|543.34|2021-08-09|62.26|220.19|5
D_1397.0|claim|Q_14.10|C_2200|X_39|575.71|2021-04-17|256.04|552.91|3
D_1397.1|claim|Q_14.10|C_1400|X_6|977.67|2022-01-24|964.91|337.93|3
D_1397.2|claim|Q_14.10|C_3800|X_44|337.43|2021-12-27|167.85|99.53|1
D_1398.0|claim|Q_14.11|C_400|X_5|862.39|2021-05-28|624.03|824.58|3
D_1398.1|claim|Q_14.11|C_400|X_20|336.05|2021-05-03|4.19|345.57|5
D_1398.2|claim|Q_14.11|C_3300|X_9|686.66|2021-11-19|177.69|994.62|1
D_1399.0|claim|Q_14.12|C_700|X_49|909.84|2021-04-24|104.24|825.94|3
D_1400.0|claim|Q_14.13|C_1300|X_36|440.17|2022-02-15|208.77|121.34|1
D_1400.1|claim|Q_14.13|C_0|X_1|462.68|2021-02-02|825.43|77.7|1
D_1400.2|claim|Q_14.13|C_100|X_31|915.8|2021-10-10|878.42|147.45|2
D_1400.3|claim|Q_14.13|C_1400|X_28|258.98|2021-01-11|808.3|897.36|4
D_1400.4|claim|Q_14.13|C_3800|X_19|484.17|2021-04-30|479.31|235.37|1
D_1401.0|claim|Q_14.14|C_4800|X_9|795.89|2022-01-27|26.4|25.32|0
D_1401.1|claim|Q_14.14|C_1200|X_25|955.41|2022-04-07|526.92|158.17|3
D_1401.2|claim|Q_14.14|C_3300|X_16|740.43|2021-04-14|998.97|25.48|5
D_1401.3|claim|Q_14.14|C_900|X_50|202.15|2021-04-13|944.35|645.83|1
D_1401.4|claim|Q_14.14|C_2500|X_25|253.31|2021-06-22|258.71|327.11|5
D_1402.0|claim|Q_14.15|C_4800|X_43|825.3|2021-07-29|612.57|627.93|4
D_1402.1|claim|Q_14.15|C_500|X_43|670.31|2022-02-01|804.73|297.82|4
D_1402.2|claim|Q_14.15|C_1100|X_24|297.13|2022-01-03|603.01|604.76|0
D_1402.3|claim|Q_14.15|C_1900|X_13|964.3|2021-03-18|625.9|718.41|1
D_1403.0|claim|Q_14.16|C_1800|X_12|953.79|2021-04-21|334.81|863.96|2
D_1403.1|claim|Q_14.16|C_2900|X_0|875.78|2021-12-05|682.08|988.05|4
D_1403.2|claim|Q_14.16|C_600|X_42|918.12|2022-03-17|125.47|597.36|1
D_1403.3|claim|Q_14.16|C_3000|X_7|385.2|2021-09-14|533.04|415.96|1
D_1403.4|claim|Q_14.16|C_700|X_50|240.13|2021-09-09|210.98|887.83|3
D_1405.0|claim|Q_14.18|C_2400|X_14|287.49|2021-06-23|21.89|365.27|5
D_1405.1|claim|Q_14.18|C_3100|X_26|785.05|2021-09-02|589.0|84.8|1
D_1405.2|claim|Q_14.18|C_900|X_28|368.28|2021-10-06|681.47|745.85|1
D_1406.0|claim|Q_14.19|C_2700|X_14|851.57|2022-02-25|109.95|107.93|3
D_1406.1|claim|Q_14.19|C_1000|X_22|488.73|2021-11-04|184.03|928.62|2
D_1406.2|claim|Q_14.19|C_2400|X_14|350.45|2021-04-20|938.34|355.35|4
D_1406.3|claim|Q_14.19|C_900|X_4|893.44|2021-04-22|259.99|239.16|2
D_1407.0|claim|Q_14.20|C_4600|X_10|801.0|2021-02-22|29.65|129.13|3
D_1407.1|claim|Q_14.20|C_4100|X_10|660.26|2021-04-26|254.16|239.81|1
D_1407.2|claim|Q_14.20|C_4000|X_12|899.08|2021-08-26|778.34|137.65|3
D_1408.0|claim|Q_14.21|C_4800|X_37|933.19|2021-10-03|965.49|881.77|0
D_1408.1|claim|Q_14.21|C_3700|X_39|293.82|2021-02-20|218.3|593.88|3
D_1408.2|claim|Q_14.21|C_1900|X_31|616.35|2022-02-01|835.66|965.79|0
D_1408.3|claim|Q_14.21|C_2400|X_45|771.95|2021-08-07|575.46|860.66|5
D_1408.4|claim|Q_14.21|C_3200|X_11|162.16|2021-08-06|764.52|347.96|1
D_1409.0|claim|Q_14.22|C_4400|X_15|318.74|2021-11-28|389.27|514.99|2
D_1409.1|claim|Q_14.22|C_3700|X_49|230.11|2021-05-29|400.72|867.97|2
D_1409.2|claim|Q_14.22|C_3200|X_49|873.54|2021-08-10|496.44|181.02|2
D_1410.0|claim|Q_14.23|C_2200|X_16|356.24|2021-04-28|913.33|256.9|5
D_1411.0|claim|Q_14.24|C_900|X_50|734.46|2021-03-25|687.69|157.24|0
D_1412.0|claim|Q_14.25|C_2000|X_50|686.28|2021-07-14|519.51|177.4|4
D_1412.1|claim|Q_14.25|C_4500|X_8|235.03|2021-10-07|971.45|278.28|0
D_1413.0|claim|Q_14.26|C_2700|X_20|531.61|2021-07-30|226.25|6.36|4
D_1414.0|claim|Q_14.27|C_1800|X_33|932.15|2022-04-23|140.39|222.12|1
D_1414.1|claim|Q_14.27|C_3000|X_32|936.62|2021-10-12|264.27|622.37|0
D_1414.2|claim|Q_14.27|C_400|X_22|702.83|2021-08-08|955.68|101.97|1
D_1414.3|claim|Q_14.27|C_2200|X_47|943.76|2021-04-16|597.24|284.39|3
D_1414.4|claim|Q_14.27|C_1000|X_12|320.11|2021-02-17|534.73|678.16|2
D_1415.0|claim|Q_14.28|C_1100|X_17|538.82|2022-01-10|846.72|765.47|5
D_1415.1|claim|Q_14.28|C_3300|X_8|757.02|2021-06-30|703.76|479.72|3
D_1415.2|claim|Q_14.28|C_5000|X_20|147.9|2021-05-21|108.13|642.43|0
D_1415.3|claim|Q_14.28|C_2200|X_14|790.61|2021-11-27|379.39|330.77|5
D_1415.4|claim|Q_14.28|C_3800|X_24|196.92|2021-06-30|944.21|544.9|5
D_1416.0|claim|Q_14.29|C_1300|X_46|277.62|2021-05-30|6.22|387.57|1
D_1416.1|claim|Q_14.29|C_1800|X_19|112.93|2022-01-22|485.31|877.03|4
D_1416.2|claim|Q_14.29|C_3300|X_49|921.11|2021-05-06|461.49|892.63|3
D_1416.3|claim|Q_14.29|C_400|X_33|605.64|2021-09-24|942.05|4.9|4
D_1417.0|claim|Q_14.30|C_1400|X_39|281.08|2021-04-13|56.61|561.72|5
D_1417.1|claim|Q_14.30|C_600|X_10|722.17|2021-08-12|491.1|420.07|3
D_1417.2|claim|Q_14.30|C_200|X_32|598.03|2021-01-06|111.31|211.8|2
D_1417.3|claim|Q_14.30|C_3200|X_43|853.69|2021-03-06|210.28|940.7|1
D_1417.4|claim|Q_14.30|C_3200|X_44|714.55|2021-03-27|102.62|106.17|1
D_1418.0|claim|Q_14.31|C_4300|X_14|490.64|2021-01-19|222.93|248.77|4
D_1418.1|claim|Q_14.31|C_1300|X_50|773.93|2021-03-20|912.51|945.97|4
D_1419.0|claim|Q_14.32|C_2300|X_34|193.86|2021-11-20|558.96|330.73|2
D_1420.0|claim|Q_14.33|C_5000|X_36|477.77|2021-12-26|459.25|288.52|1
D_1420.1|claim|Q_14.33|C_2300|X_26|389.07|2021-10-09|95.47|480.11|4
D_1421.0|claim|Q_14.34|C_2500|X_18|358.71|2021-05-13|961.26|955.51|5
D_1421.1|claim|Q_14.34|C_700|X_19|823.07|2022-01-14|87.02|450.34|0
D_1421.2|claim|Q_14.34|C_3500|X_30|920.14|2021-12-20|355.11|220.02|5
D_1421.3|claim|Q_14.34|C_4900|X_44|133.55|2021-12-27|387.26|919.95|4
D_1422.0|claim|Q_14.35|C_3200|X_18|112.78|2021-08-04|339.29|809.15|0
D_1423.0|claim|Q_14.36|C_3200|X_29|350.96|2022-03-08|261.73|396.37|2
D_1424.0|claim|Q_14.37|C_4800|X_11|255.45|2021-10-10|424.12|691.11|0
D_1424.1|claim|Q_14.37|C_1000|X_43|561.59|2021-05-25|577.44|530.92|2
D_1425.0|claim|Q_14.38|C_4400|X_49|141.87|2021-07-12|923.12|282.0|4
D_1425.1|claim|Q_14.38|C_1900|X_11|937.03|2021-07-14|471.64|941.31|2
D_1425.2|claim|Q_14.38|C_2400|X_42|155.97|2021-01-31|994.88|44.06|4
D_1427.0|claim|Q_14.40|C_4000|X_47|571.75|2021-10-29|409.07|641.83|5
D_1427.1|claim|Q_14.40|C_1900|X_3|792.92|2021-01-07|640.51|905.46|5
D_1428.0|claim|Q_14.41|C_3800|X_25|423.43|2021-05-14|648.03|804.21|5
D_1428.1|claim|Q_14.41|C_1300|X_38|744.26|2021-05-11|993.44|290.21|1
D_1428.2|claim|Q_14.41|C_4700|X_26|575.62|2022-04-17|472.39|441.98|5
D_1428.3|claim|Q_14.41|C_1600|X_29|464.84|2021-03-08|802.97|715.74|4
D_1428.4|claim|Q_14.41|C_4800|X_2|816.65|2022-02-26|996.02|502.4|2
D_1429.0|claim|Q_14.42|C_2900|X_50|751.71|2021-11-11|839.12|665.99|3
D_1429.1|claim|Q_14.42|C_3500|X_5|885.07|2021-03-30|945.6|18.98|0
D_1432.0|claim|Q_14.45|C_2700|X_14|804.32|2022-04-04|882.44|903.12|3
D_1433.0|claim|Q_14.46|C_4800|X_10|747.61|2021-12-19|541.3|314.77|1
D_1434.0|claim|Q_14.47|C_1400|X_24|853.38|2021-07-11|589.06|448.24|5
D_1434.1|claim|Q_14.47|C_3500|X_43|806.05|2021-09-14|770.7|812.77|0
D_1434.2|claim|Q_14.47|C_1400|X_49|136.14|2021-03-01|931.28|220.09|2
D_1434.3|claim|Q_14.47|C_1000|X_9|645.75|2021-06-02|961.15|479.47|0
D_1435.0|claim|Q_14.48|C_1000|X_8|243.37|2021-05-21|302.49|721.72|4
D_1435.1|claim|Q_14.48|C_2700|X_13|374.74|2021-07-10|995.62|819.32|0
D_1435.2|claim|Q_14.48|C_4300|X_48|119.39|2021-08-01|188.6|85.76|0
D_1435.3|claim|Q_14.48|C_4700|X_17|759.54|2021-01-09|925.57|398.61|3
D_1436.0|claim|Q_14.49|C_1600|X_48|299.32|2022-01-10|355.82|418.5|1
D_1436.1|claim|Q_14.49|C_800|X_20|483.84|2022-02-10|75.14|304.3|1
D_1436.2|claim|Q_14.49|C_2400|X_39|728.01|2022-04-13|26.25|853.31|3
D_1436.3|claim|Q_14.49|C_3500|X_7|907.35|2021-04-14|507.88|541.56|4
D_1437.0|claim|Q_14.50|C_1400|X_26|416.14|2021-05-25|506.14|423.78|1
D_1437.1|claim|Q_14.50|C_4700|X_46|485.49|2021-07-27|216.82|745.4|3
D_1438.0|claim|Q_14.51|C_2300|X_15|315.32|2021-03-22|587.44|966.74|0
D_1438.1|claim|Q_14.51|C_2800|X_1|787.52|2021-06-07|891.79|770.3|1
D_1439.0|claim|Q_14.52|C_1100|X_6|435.15|2021-02-28|77.62|903.47|5
D_1439.1|claim|Q_14.52|C_2700|X_3|759.61|2021-06-14|484.46|546.53|2
D_1439.2|claim|Q_14.52|C_2800|X_40|274.61|2022-01-31|792.09|235.6|4
D_1439.3|claim|Q_14.52|C_700|X_15|585.35|2022-03-13|737.64|408.33|5
D_1439.4|claim|Q_14.52|C_3200|X_46|581.44|2021-07-19|3.85|739.67|4
D_1440.0|claim|Q_14.53|C_4000|X_49|856.82|2021-06-02|501.23|756.81|3
D_1440.1|claim|Q_14.53|C_1700|X_39|147.48|2021-06-02|668.58|126.37|0
D_1440.2|claim|Q_14.53|C_3800|X_48|753.92|2022-02-07|744.24|524.75|4
D_1441.0|claim|Q_14.54|C_2400|X_2|265.03|2022-02-22|605.65|824.58|1
D_1441.1|claim|Q_14.54|C_4600|X_0|218.1|2021-09-07|109.58|688.82|0
D_1442.0|claim|Q_14.55|C_1600|X_41|263.23|2021-01-03|506.94|849.83|1
