ID|LABEL|POLICY_NUMBER|POLICY_BIND_DATE|POLICY_STATE|POLICY_CSL|POLICY_DEDUCTABLE|POLICY_ANNUAL_PREMIUM|UMBRELLA_LIMIT|AUTO_MAKE|AUTO_YEAR|AGENT_ID|CLAIM_ID
Q_5.97|policy|Q_5.97|2022-03-08|UT|660.6|53.9|466.62|3086733.39|jeep|1986|A_5|
Q_5.98|policy|Q_5.98|2021-10-20|MD|277.21|61.25|839.14|4017928.48|audi|2016|A_5|
Q_5.99|policy|Q_5.99|2021-09-18|MD|695.56|85.88|963.31|9118000.74|ford|1976|A_5|
Q_6.1|policy|Q_6.1|2021-04-02|DE|925.98|63.57|188.71|7269043.1|chevy|1975|A_6|
Q_6.2|policy|Q_6.2|2021-05-04|PA|166.47|62.1|643.71|4458136.84|jeep|2004|A_6|
Q_6.3|policy|Q_6.3|2021-01-28|CA|110.76|13.86|538.31|6086275.89|audi|2004|A_6|
Q_6.4|policy|Q_6.4|2021-10-27|VT|786.39|42.57|832.78|7859841.87|audi|2000|A_6|
Q_6.5|policy|Q_6.5|2021-12-14|NH|787.66|69.64|750.7|3651870.22|porsche|1980|A_6|
Q_6.6|policy|Q_6.6|2021-11-08|CO|415.8|90.17|727.07|6617174.04|ford|1978|A_6|
Q_6.7|policy|Q_6.7|2021-09-17|MN|624.44|58.51|228.17|7257083.29|jeep|2009|A_6|
Q_6.8|policy|Q_6.8|2021-01-27|MS|440.02|99.81|264.48|6604575.5|audi|1982|A_6|
Q_6.9|policy|Q_6.9|2021-12-01|WI|944.42|88.8|459.41|5385210.49|rivian|1981|A_6|
Q_6.10|policy|Q_6.10|2022-04-26|MI|969.43|59.05|668.54|5264413.76|ford|2003|A_6|
Q_6.11|policy|Q_6.11|2021-05-20|NJ|685.62|99.17|685.42|7230565.1|canoo|1999|A_6|
Q_6.12|policy|Q_6.12|2022-01-14|PA|309.99|47.57|238.35|2517815.77|rivian|1990|A_6|
Q_6.13|policy|Q_6.13|2021-11-19|MN|508.36|88.98|833.02|6117094.62|porsche|2012|A_6|
Q_6.14|policy|Q_6.14|2021-07-14|IN|925.37|86.94|257.63|3822026.05|jeep|1992|A_6|
Q_6.15|policy|Q_6.15|2021-12-28|TX|128.58|19.89|400.59|1920093.6|audi|1972|A_6|
Q_6.16|policy|Q_6.16|2022-03-29|AR|138.06|59.79|737.14|7607037.45|chevy|1980|A_6|
Q_6.17|policy|Q_6.17|2021-07-04|NJ|705.88|89.17|180.11|3599536.29|jeep|1987|A_6|
Q_6.18|policy|Q_6.18|2021-10-03|VA|482.1|63.83|399.18|5861743.09|audi|1971|A_6|
Q_6.19|policy|Q_6.19|2022-03-14|WV|371.68|42.81|404.07|2532538.44|canoo|2007|A_6|
Q_6.20|policy|Q_6.20|2021-01-23|VA|703.64|26.94|864.12|7027219.8|audi|2007|A_6|
Q_6.21|policy|Q_6.21|2021-10-27|UT|625.73|70.19|662.81|8706784.22|canoo|2016|A_6|
Q_6.22|policy|Q_6.22|2021-12-08|MS|105.34|64.64|871.44|4812586.68|jeep|1987|A_6|
Q_6.23|policy|Q_6.23|2021-10-02|MI|197.89|96.01|976.55|6248304.47|porsche|1998|A_6|
Q_6.24|policy|Q_6.24|2021-09-16|CA|447.1|30.92|338.77|9320196.44|canoo|1975|A_6|
Q_6.25|policy|Q_6.25|2022-01-13|AR|391.58|52.02|269.75|8866424.97|jeep|1991|A_6|
Q_6.26|policy|Q_6.26|2022-02-07|HI|239.99|71.21|322.54|2780581.68|jeep|1971|A_6|
Q_6.27|policy|Q_6.27|2021-12-27|CT|511.04|91.91|896.47|2991841.08|canoo|2010|A_6|
Q_6.28|policy|Q_6.28|2022-01-24|WV|572.17|81.69|515.42|5284949.99|canoo|1980|A_6|
Q_6.29|policy|Q_6.29|2022-02-03|MI|190.03|55.14|356.32|4754068.45|porsche|1989|A_6|
Q_6.30|policy|Q_6.30|2022-04-08|NH|610.26|79.14|219.94|3821828.04|audi|2019|A_6|
Q_6.31|policy|Q_6.31|2021-02-27|FL|719.66|71.51|551.56|4622876.37|canoo|1979|A_6|
Q_6.32|policy|Q_6.32|2021-04-08|CO|793.51|39.08|470.63|630236.19|chevy|1999|A_6|
Q_6.33|policy|Q_6.33|2021-02-18|ID|991.82|99.97|411.77|760390.36|jeep|2017|A_6|
Q_6.34|policy|Q_6.34|2021-10-13|WV|716.96|55.64|245.67|672440.23|canoo|2005|A_6|
Q_6.35|policy|Q_6.35|2021-08-15|ID|184.76|27.54|984.25|6511378.13|porsche|2012|A_6|
Q_6.36|policy|Q_6.36|2022-01-14|MA|581.66|86.97|606.31|7367367.52|jeep|2010|A_6|
Q_6.37|policy|Q_6.37|2021-06-14|LA|531.1|65.03|226.43|3350942.35|audi|2014|A_6|
Q_6.38|policy|Q_6.38|2021-03-22|VT|802.86|18.4|749.87|7747316.82|volvo|2016|A_6|
Q_6.39|policy|Q_6.39|2021-05-14|UT|597.16|99.56|890.95|2687071.45|ford|1987|A_6|
Q_6.40|policy|Q_6.40|2022-04-29|FL|674.01|68.0|777.39|4206806.37|rivian|1997|A_6|
Q_6.41|policy|Q_6.41|2021-07-14|CA|292.08|95.18|712.67|6128135.45|chevy|2022|A_6|
Q_6.42|policy|Q_6.42|2021-10-27|NJ|793.31|92.15|673.89|2546596.22|canoo|1970|A_6|
Q_6.43|policy|Q_6.43|2021-03-18|TN|413.25|97.43|590.32|2168397.37|canoo|1974|A_6|
Q_6.44|policy|Q_6.44|2021-09-24|MA|549.09|91.03|453.15|2632655.38|ford|1972|A_6|
Q_6.45|policy|Q_6.45|2021-06-19|MO|378.12|85.08|803.88|8045707.22|jeep|2011|A_6|
Q_6.46|policy|Q_6.46|2021-08-08|DE|742.58|60.4|320.01|1700835.2|chevy|1995|A_6|
Q_6.47|policy|Q_6.47|2021-06-04|ND|581.86|90.49|551.64|1221164.74|volvo|1974|A_6|
Q_6.48|policy|Q_6.48|2022-03-02|WY|561.55|83.38|109.4|5834191.61|ford|2017|A_6|
Q_6.49|policy|Q_6.49|2021-08-04|AR|631.49|35.56|579.29|7821213.83|jeep|1993|A_6|
Q_6.50|policy|Q_6.50|2021-06-18|WV|790.52|17.99|431.21|3914175.0|ford|1979|A_6|
Q_6.51|policy|Q_6.51|2021-01-02|HI|151.88|91.86|715.74|9090514.25|ford|2018|A_6|
Q_6.52|policy|Q_6.52|2021-03-02|NE|679.12|48.95|501.07|8950154.77|volvo|1990|A_6|
Q_6.53|policy|Q_6.53|2021-10-25|DC|715.37|21.51|618.82|9359922.01|rivian|1972|A_6|
Q_6.54|policy|Q_6.54|2021-03-18|MS|222.91|95.25|751.06|2991643.96|jeep|2010|A_6|
Q_6.55|policy|Q_6.55|2021-04-05|NC|775.87|16.88|346.36|3084241.31|rivian|1974|A_6|
Q_6.56|policy|Q_6.56|2021-04-14|UT|934.36|13.77|667.35|2372265.28|ford|1991|A_6|
Q_6.57|policy|Q_6.57|2021-06-16|SC|118.0|70.14|496.02|7105805.09|chevy|2005|A_6|
Q_6.58|policy|Q_6.58|2022-03-09|RI|314.02|12.23|631.14|6141260.73|canoo|1974|A_6|
Q_6.59|policy|Q_6.59|2021-10-11|IA|642.22|98.48|390.0|3027867.07|canoo|1992|A_6|
Q_6.60|policy|Q_6.60|2021-01-11|VA|911.47|55.41|437.72|4817718.71|rivian|1999|A_6|
Q_6.61|policy|Q_6.61|2021-09-01|OH|696.26|17.11|479.4|7676340.09|chevy|2021|A_6|
Q_6.62|policy|Q_6.62|2021-06-29|CO|562.28|68.64|114.25|1492991.71|porsche|1984|A_6|
Q_6.63|policy|Q_6.63|2021-11-02|OK|455.66|18.77|402.32|3378518.72|rivian|1982|A_6|
Q_6.64|policy|Q_6.64|2021-12-17|RI|741.07|81.15|853.74|6344580.64|chevy|1987|A_6|
Q_6.65|policy|Q_6.65|2021-03-22|DC|851.36|20.72|524.42|6180820.28|porsche|2003|A_6|
Q_6.66|policy|Q_6.66|2021-11-18|TN|863.06|52.38|976.29|4884278.16|volvo|1990|A_6|
Q_6.67|policy|Q_6.67|2021-11-23|MN|676.08|71.88|350.56|2109010.41|chevy|1986|A_6|
Q_6.68|policy|Q_6.68|2021-08-08|VT|280.08|18.72|292.52|2791199.59|jeep|2011|A_6|
Q_6.69|policy|Q_6.69|2021-03-25|MA|455.05|48.37|641.37|7252441.6|ford|2001|A_6|
Q_6.70|policy|Q_6.70|2021-01-03|KS|363.71|25.19|705.18|8871134.75|jeep|1997|A_6|
Q_6.71|policy|Q_6.71|2021-03-10|RI|129.52|74.74|411.81|7656631.46|volvo|2008|A_6|
Q_6.72|policy|Q_6.72|2021-03-06|MD|326.3|59.83|380.01|1941291.25|audi|1974|A_6|
Q_6.73|policy|Q_6.73|2021-09-04|DC|254.85|50.56|835.71|7639378.1|rivian|2015|A_6|
Q_6.74|policy|Q_6.74|2022-01-11|DC|523.8|67.78|361.97|7908626.64|chevy|2010|A_6|
Q_6.75|policy|Q_6.75|2021-02-10|RI|733.89|82.56|176.44|7611836.02|jeep|1971|A_6|
Q_6.76|policy|Q_6.76|2021-07-18|NH|865.75|25.23|773.92|2812361.1|audi|1979|A_6|
Q_6.77|policy|Q_6.77|2021-07-31|UT|146.91|24.07|656.77|6290569.03|volvo|2020|A_6|
Q_6.78|policy|Q_6.78|2021-10-06|NV|596.52|67.83|647.81|6246026.07|porsche|2011|A_6|
Q_6.79|policy|Q_6.79|2021-10-30|MS|620.82|59.09|706.18|1384407.89|canoo|2021|A_6|
Q_6.80|policy|Q_6.80|2022-03-29|GA|841.2|30.44|686.86|8096785.91|canoo|2018|A_6|
Q_6.81|policy|Q_6.81|2021-09-13|PA|622.12|21.6|158.42|8616346.2|volvo|1999|A_6|
Q_6.82|policy|Q_6.82|2021-05-02|MD|998.44|85.03|463.1|4664517.16|audi|1995|A_6|
Q_6.83|policy|Q_6.83|2021-02-16|NH|877.21|52.75|938.41|709542.14|chevy|2013|A_6|
Q_6.84|policy|Q_6.84|2021-05-01|ID|479.91|53.68|382.16|4499819.13|canoo|1973|A_6|
Q_6.85|policy|Q_6.85|2021-09-10|SD|795.94|82.61|748.65|4845510.43|rivian|1985|A_6|
Q_6.86|policy|Q_6.86|2021-07-17|OR|824.53|99.13|190.71|8326390.05|audi|1999|A_6|
Q_6.87|policy|Q_6.87|2021-09-06|SC|880.07|69.6|947.57|4740878.98|jeep|2004|A_6|
Q_6.88|policy|Q_6.88|2021-05-22|MA|802.64|28.97|898.91|8803364.77|porsche|1983|A_6|
Q_6.89|policy|Q_6.89|2022-01-04|NC|695.38|74.41|172.53|3371566.72|chevy|1995|A_6|
Q_6.90|policy|Q_6.90|2021-12-09|ND|338.21|27.63|853.95|5642706.68|rivian|2013|A_6|
Q_6.91|policy|Q_6.91|2021-10-19|DC|484.96|10.44|984.35|4367165.75|audi|1986|A_6|
Q_6.92|policy|Q_6.92|2021-08-14|HI|570.89|19.91|927.48|4789052.98|audi|1989|A_6|
Q_6.93|policy|Q_6.93|2021-06-03|IN|995.04|73.09|524.7|6426951.05|jeep|2019|A_6|
Q_6.94|policy|Q_6.94|2021-05-31|VT|318.96|40.02|512.24|2716250.31|ford|1988|A_6|
Q_6.95|policy|Q_6.95|2021-11-18|MI|555.53|93.56|631.39|7908513.66|porsche|2020|A_6|
Q_6.96|policy|Q_6.96|2021-12-14|MT|433.61|73.66|105.76|1938322.37|ford|1996|A_6|
Q_6.97|policy|Q_6.97|2021-03-12|NC|336.4|47.51|158.42|2666674.97|jeep|1981|A_6|
Q_6.98|policy|Q_6.98|2021-09-28|NM|711.06|18.48|845.35|592755.66|volvo|1988|A_6|
Q_6.99|policy|Q_6.99|2021-11-24|MS|281.69|15.36|428.82|1753674.16|porsche|2021|A_6|
Q_7.1|policy|Q_7.1|2021-02-18|AZ|787.2|29.73|396.04|8134441.73|ford|1974|A_7|
Q_7.2|policy|Q_7.2|2021-08-23|OR|378.09|65.54|446.56|1849095.07|volvo|1995|A_7|
Q_7.3|policy|Q_7.3|2022-01-08|MN|239.41|87.98|165.61|8636528.58|audi|1985|A_7|
Q_7.4|policy|Q_7.4|2021-07-28|MD|375.61|20.38|913.38|9746946.46|porsche|2017|A_7|
Q_7.5|policy|Q_7.5|2021-08-24|SD|688.84|99.97|266.6|5439377.54|porsche|2019|A_7|
Q_7.6|policy|Q_7.6|2021-08-02|MN|473.01|70.79|866.39|6658471.24|rivian|1994|A_7|
Q_7.7|policy|Q_7.7|2021-08-21|WY|542.64|45.92|615.54|6487158.88|audi|1985|A_7|
Q_7.8|policy|Q_7.8|2022-02-02|AK|411.96|30.83|366.28|6309423.5|audi|1983|A_7|
Q_7.9|policy|Q_7.9|2022-04-25|MD|443.09|71.35|444.74|7454237.26|canoo|1995|A_7|
Q_7.10|policy|Q_7.10|2022-02-05|WA|946.84|57.57|705.64|3211538.61|canoo|1972|A_7|
Q_7.11|policy|Q_7.11|2021-11-28|CO|404.82|43.71|636.36|9476007.01|rivian|1986|A_7|
Q_7.12|policy|Q_7.12|2021-02-15|OH|458.46|66.23|923.11|2533783.54|canoo|1997|A_7|
Q_7.13|policy|Q_7.13|2021-11-07|UT|241.52|45.57|266.44|8425322.29|rivian|2018|A_7|
Q_7.14|policy|Q_7.14|2021-04-16|CO|764.39|65.36|642.65|7276057.65|jeep|2012|A_7|
Q_7.15|policy|Q_7.15|2021-04-29|ND|239.54|62.51|758.76|5683191.73|jeep|1993|A_7|
Q_7.16|policy|Q_7.16|2021-02-14|OH|285.69|54.02|315.6|8880194.44|volvo|2008|A_7|
Q_7.17|policy|Q_7.17|2022-03-26|NV|587.39|51.42|595.29|5442506.72|porsche|1971|A_7|
Q_7.18|policy|Q_7.18|2022-01-28|ID|665.01|15.21|434.09|3611636.61|porsche|1995|A_7|
Q_7.19|policy|Q_7.19|2021-08-15|VT|172.61|64.19|117.49|1366974.51|ford|1998|A_7|
Q_7.20|policy|Q_7.20|2021-08-28|WA|468.45|43.97|254.75|8942161.51|volvo|1995|A_7|
Q_7.21|policy|Q_7.21|2021-02-05|VA|934.73|21.88|325.55|9138248.95|jeep|2000|A_7|
Q_7.22|policy|Q_7.22|2021-06-19|MI|754.11|53.02|266.62|5072014.64|jeep|1988|A_7|
Q_7.23|policy|Q_7.23|2021-11-08|NE|544.16|63.17|377.52|4930390.06|porsche|1973|A_7|
Q_7.24|policy|Q_7.24|2021-09-07|AL|475.71|84.14|359.64|4195088.03|chevy|1993|A_7|
Q_7.25|policy|Q_7.25|2021-02-12|ID|340.74|90.35|809.14|8823636.68|ford|1980|A_7|
Q_7.26|policy|Q_7.26|2021-03-09|KS|328.61|36.37|606.44|9767722.66|volvo|1986|A_7|
Q_7.27|policy|Q_7.27|2022-01-15|NE|896.24|83.26|506.11|5138573.86|audi|1999|A_7|
Q_7.28|policy|Q_7.28|2021-02-08|ID|723.72|39.9|329.19|3996476.03|rivian|2004|A_7|
Q_7.29|policy|Q_7.29|2021-11-09|NY|444.47|81.81|378.58|7871377.27|canoo|1993|A_7|
Q_7.30|policy|Q_7.30|2022-02-15|GA|931.81|98.01|305.25|9085721.11|ford|1992|A_7|
Q_7.31|policy|Q_7.31|2021-06-22|MS|595.52|41.45|698.38|5975361.66|jeep|1971|A_7|
Q_7.32|policy|Q_7.32|2021-11-03|MT|116.23|59.12|855.05|1218210.04|audi|2001|A_7|
Q_7.33|policy|Q_7.33|2021-06-23|WV|985.53|44.65|106.45|1259918.97|audi|1972|A_7|
Q_7.34|policy|Q_7.34|2022-04-29|MO|539.08|80.58|988.47|4126326.35|canoo|1971|A_7|
Q_7.35|policy|Q_7.35|2021-03-24|MI|702.02|22.49|586.08|4355755.86|canoo|1991|A_7|
Q_7.36|policy|Q_7.36|2022-01-31|NY|419.63|42.26|386.47|3971490.13|jeep|2018|A_7|
Q_7.37|policy|Q_7.37|2021-06-19|ND|181.7|75.54|373.49|5424385.76|ford|2007|A_7|
Q_7.38|policy|Q_7.38|2021-05-05|DC|406.67|72.61|240.31|6231649.56|chevy|2000|A_7|
Q_7.39|policy|Q_7.39|2022-02-27|SC|973.11|35.02|778.21|4470577.24|volvo|2016|A_7|
Q_7.40|policy|Q_7.40|2022-03-02|LA|917.97|76.31|446.71|8272082.93|porsche|1976|A_7|
Q_7.41|policy|Q_7.41|2021-06-15|KS|489.43|54.1|190.55|7341199.13|volvo|1995|A_7|
Q_7.42|policy|Q_7.42|2021-05-30|FL|818.83|62.53|881.33|9336663.08|rivian|2009|A_7|
Q_7.43|policy|Q_7.43|2021-04-19|IN|889.2|11.49|964.82|517495.4|canoo|2007|A_7|
Q_7.44|policy|Q_7.44|2021-08-14|DC|817.14|34.05|156.41|8848809.72|volvo|1990|A_7|
Q_7.45|policy|Q_7.45|2021-03-11|WA|976.09|86.19|460.84|565748.45|rivian|2003|A_7|
Q_7.46|policy|Q_7.46|2022-04-14|WV|318.39|82.41|480.58|6351220.98|chevy|2020|A_7|
Q_7.47|policy|Q_7.47|2022-02-28|IA|821.74|61.17|861.71|7833913.42|rivian|2005|A_7|
Q_7.48|policy|Q_7.48|2021-06-25|MO|821.67|69.57|418.16|2511930.58|jeep|1975|A_7|
Q_7.49|policy|Q_7.49|2021-08-24|DE|932.6|99.02|293.06|5056494.95|jeep|2017|A_7|
Q_7.50|policy|Q_7.50|2021-11-30|MD|368.03|10.05|775.4|7372257.59|porsche|2013|A_7|
Q_7.51|policy|Q_7.51|2021-06-23|ME|535.44|36.62|951.44|7647813.46|volvo|2006|A_7|
Q_7.52|policy|Q_7.52|2021-12-29|UT|137.4|57.85|709.26|3487920.93|canoo|2009|A_7|
Q_7.53|policy|Q_7.53|2021-12-24|CT|334.52|86.39|675.61|993189.41|porsche|1970|A_7|
Q_7.54|policy|Q_7.54|2021-01-17|TX|731.21|95.12|286.35|1872936.7|volvo|1992|A_7|
Q_7.55|policy|Q_7.55|2021-01-15|NE|787.57|19.12|757.78|380538.54|volvo|1999|A_7|
Q_7.56|policy|Q_7.56|2021-01-10|MT|988.02|50.55|961.48|8651287.26|volvo|2020|A_7|
Q_7.57|policy|Q_7.57|2022-01-03|SC|159.91|45.8|207.63|6744129.39|chevy|1975|A_7|
Q_7.58|policy|Q_7.58|2021-09-15|SD|504.59|52.21|930.35|5051208.76|ford|1994|A_7|
Q_7.59|policy|Q_7.59|2021-07-14|NY|709.76|91.14|237.04|6290367.87|ford|1975|A_7|
Q_7.60|policy|Q_7.60|2021-12-04|OR|682.54|37.96|483.12|4059984.71|volvo|2007|A_7|
Q_7.61|policy|Q_7.61|2022-02-19|MI|865.11|77.94|142.99|802278.65|ford|1994|A_7|
Q_7.62|policy|Q_7.62|2022-01-01|MA|952.16|86.55|361.89|5325716.09|jeep|1992|A_7|
Q_7.63|policy|Q_7.63|2022-02-26|UT|887.67|61.06|193.18|4094473.6|audi|2019|A_7|
Q_7.64|policy|Q_7.64|2022-02-19|ID|117.56|66.46|627.33|347893.34|canoo|1987|A_7|
Q_7.65|policy|Q_7.65|2021-06-20|NV|675.63|10.16|923.21|5185471.8|ford|2015|A_7|
Q_7.66|policy|Q_7.66|2022-02-22|OH|748.13|33.98|904.45|7881321.41|chevy|2003|A_7|
Q_7.67|policy|Q_7.67|2021-11-01|ND|723.51|86.0|824.19|2702765.67|porsche|1975|A_7|
Q_7.68|policy|Q_7.68|2021-09-26|WI|280.76|29.26|714.3|4493526.88|porsche|2011|A_7|
Q_7.69|policy|Q_7.69|2021-09-18|OH|110.75|35.78|438.82|7812751.59|audi|2010|A_7|
Q_7.70|policy|Q_7.70|2021-08-05|MN|459.95|40.4|406.15|2095256.4|chevy|2009|A_7|
Q_7.71|policy|Q_7.71|2021-11-24|ID|426.65|61.75|169.71|3533259.02|jeep|1986|A_7|
Q_7.72|policy|Q_7.72|2021-04-14|MS|861.96|89.93|698.5|5048803.42|jeep|1994|A_7|
Q_7.73|policy|Q_7.73|2021-12-16|DE|631.84|95.87|404.73|702962.31|audi|1985|A_7|
Q_7.74|policy|Q_7.74|2021-07-25|AK|856.51|67.99|840.32|6028669.51|volvo|2004|A_7|
Q_7.75|policy|Q_7.75|2021-05-20|NH|606.28|23.87|992.8|3330174.48|chevy|1973|A_7|
Q_7.76|policy|Q_7.76|2022-03-01|MA|167.75|57.35|679.71|7709915.92|audi|1991|A_7|
Q_7.77|policy|Q_7.77|2022-04-28|ME|454.97|24.46|177.59|7806979.41|chevy|2007|A_7|
Q_7.78|policy|Q_7.78|2022-01-15|MI|362.67|92.17|626.31|9689359.44|volvo|1975|A_7|
Q_7.79|policy|Q_7.79|2021-10-01|AZ|913.84|10.21|938.15|1422069.55|chevy|1987|A_7|
Q_7.80|policy|Q_7.80|2022-02-19|IA|455.91|60.81|527.37|8834815.4|porsche|2021|A_7|
Q_7.81|policy|Q_7.81|2021-03-10|IL|124.63|67.0|141.83|6890684.67|volvo|1999|A_7|
Q_7.82|policy|Q_7.82|2021-03-05|MN|602.65|78.15|429.04|8208291.67|canoo|1977|A_7|
Q_7.83|policy|Q_7.83|2021-03-08|IN|545.77|56.38|191.04|7442313.23|volvo|1991|A_7|
Q_7.84|policy|Q_7.84|2021-06-24|CA|298.02|52.58|370.84|9285044.44|jeep|1992|A_7|
Q_7.85|policy|Q_7.85|2021-12-01|LA|838.74|79.6|798.36|1753742.11|ford|1982|A_7|
Q_7.86|policy|Q_7.86|2022-04-10|NH|332.77|15.8|167.0|6318427.22|audi|2010|A_7|
Q_7.87|policy|Q_7.87|2021-09-04|DE|713.7|70.39|352.58|8357675.16|chevy|2012|A_7|
Q_7.88|policy|Q_7.88|2021-11-05|MI|845.12|45.1|270.25|6049818.81|audi|1993|A_7|
Q_7.89|policy|Q_7.89|2022-01-03|OK|720.51|26.65|912.73|9774922.9|rivian|2009|A_7|
Q_7.90|policy|Q_7.90|2021-12-25|NY|787.8|43.59|206.15|8248996.1|jeep|1991|A_7|
Q_7.91|policy|Q_7.91|2021-11-29|VT|646.17|45.13|479.2|801937.38|porsche|1983|A_7|
Q_7.92|policy|Q_7.92|2022-01-07|MA|565.25|74.72|729.46|2235757.74|ford|1993|A_7|
Q_7.93|policy|Q_7.93|2021-08-24|GA|296.12|52.31|620.32|8850566.78|ford|1993|A_7|
Q_7.94|policy|Q_7.94|2021-05-08|ND|767.82|69.98|897.94|5193037.55|porsche|2019|A_7|
Q_7.95|policy|Q_7.95|2021-07-04|MT|431.24|84.13|109.28|3745182.62|ford|2016|A_7|
Q_7.96|policy|Q_7.96|2022-04-02|HI|795.82|84.88|405.13|9295430.54|rivian|2021|A_7|
Q_7.97|policy|Q_7.97|2021-03-02|IN|309.67|25.77|238.51|9851405.57|canoo|1991|A_7|
Q_7.98|policy|Q_7.98|2021-02-12|IL|285.47|59.44|860.22|2080621.98|rivian|2014|A_7|
Q_7.99|policy|Q_7.99|2021-07-17|DE|363.93|18.16|817.06|297021.79|audi|2011|A_7|
Q_8.1|policy|Q_8.1|2021-09-07|IN|745.38|65.62|679.79|7544072.47|volvo|2008|A_8|
Q_8.2|policy|Q_8.2|2022-04-18|VA|105.79|94.13|562.44|7085855.3|rivian|1976|A_8|
Q_8.3|policy|Q_8.3|2021-02-13|KY|901.0|56.32|513.15|771319.07|jeep|1984|A_8|
Q_8.4|policy|Q_8.4|2021-12-20|HI|563.31|53.78|711.66|1423642.53|rivian|2014|A_8|
Q_8.5|policy|Q_8.5|2021-05-11|IN|239.87|68.3|673.53|8917545.13|porsche|1993|A_8|
Q_8.6|policy|Q_8.6|2021-10-14|MI|465.31|46.58|219.44|3818880.52|rivian|1980|A_8|
Q_8.7|policy|Q_8.7|2021-12-06|AL|831.53|80.77|141.89|1097513.05|canoo|2016|A_8|
Q_8.8|policy|Q_8.8|2021-06-20|NY|264.2|50.24|435.72|730061.7|audi|2015|A_8|
Q_8.9|policy|Q_8.9|2021-07-16|HI|550.54|13.34|201.32|8848773.03|volvo|2006|A_8|
Q_8.10|policy|Q_8.10|2022-03-28|FL|274.21|20.38|149.42|7024430.48|volvo|2017|A_8|
Q_8.11|policy|Q_8.11|2022-03-20|DC|697.13|15.26|316.3|8846276.47|rivian|2021|A_8|
Q_8.12|policy|Q_8.12|2022-03-16|MS|966.51|54.58|146.54|5922640.37|rivian|1981|A_8|
Q_8.13|policy|Q_8.13|2021-01-24|MT|338.57|36.53|208.0|1615817.61|volvo|1994|A_8|
Q_8.14|policy|Q_8.14|2022-01-28|GA|502.03|90.81|829.22|2534554.64|rivian|1975|A_8|
Q_8.15|policy|Q_8.15|2022-03-31|IA|771.66|37.46|864.61|3208009.79|porsche|1982|A_8|
Q_8.16|policy|Q_8.16|2021-04-11|IN|568.0|46.88|373.28|9197277.66|porsche|1999|A_8|
Q_8.17|policy|Q_8.17|2021-04-18|NH|421.08|53.77|592.27|899335.19|porsche|2022|A_8|
Q_8.18|policy|Q_8.18|2021-08-30|OK|532.78|25.38|306.68|4291652.91|porsche|1985|A_8|
Q_8.19|policy|Q_8.19|2022-04-16|KY|996.33|33.61|475.9|6143263.95|jeep|1975|A_8|
Q_8.20|policy|Q_8.20|2021-02-01|FL|179.46|32.75|873.05|3101385.59|audi|1998|A_8|
Q_8.21|policy|Q_8.21|2022-02-05|CT|613.04|61.72|824.4|576396.11|canoo|1971|A_8|
Q_8.22|policy|Q_8.22|2021-12-28|FL|148.0|45.81|713.72|505091.5|jeep|1972|A_8|
Q_8.23|policy|Q_8.23|2021-03-27|TX|422.8|16.62|464.45|8793236.58|rivian|1975|A_8|
Q_8.24|policy|Q_8.24|2022-03-12|WY|920.97|27.78|571.66|1065678.31|ford|2012|A_8|
Q_8.25|policy|Q_8.25|2021-01-15|ND|922.89|68.93|526.97|9192850.02|volvo|1977|A_8|
Q_8.26|policy|Q_8.26|2022-01-06|TN|508.18|48.79|623.55|632185.1|audi|1996|A_8|
Q_8.27|policy|Q_8.27|2021-06-13|OH|534.55|37.53|609.59|5397380.65|porsche|2017|A_8|
Q_8.28|policy|Q_8.28|2021-06-15|SD|407.58|81.32|942.66|697558.91|porsche|2000|A_8|
Q_8.29|policy|Q_8.29|2021-05-23|MS|662.72|32.22|582.34|600327.24|canoo|2008|A_8|
Q_8.30|policy|Q_8.30|2021-09-09|MI|494.59|71.05|620.8|8665260.59|jeep|1994|A_8|
Q_8.31|policy|Q_8.31|2021-03-04|TX|299.26|76.09|176.2|8106812.85|chevy|2010|A_8|
Q_8.32|policy|Q_8.32|2022-01-26|LA|119.85|74.71|293.13|7748516.39|ford|2008|A_8|
Q_8.33|policy|Q_8.33|2022-02-28|RI|829.9|13.92|414.69|4493085.5|porsche|1999|A_8|
Q_8.34|policy|Q_8.34|2022-04-06|KS|968.23|19.09|253.23|5188150.92|volvo|1995|A_8|
Q_8.35|policy|Q_8.35|2021-08-15|NM|168.73|94.75|632.99|8805477.67|jeep|2001|A_8|
Q_8.36|policy|Q_8.36|2022-02-07|WY|535.32|35.11|502.2|6814833.55|ford|2007|A_8|
Q_8.37|policy|Q_8.37|2021-02-26|UT|378.83|50.56|578.61|2114298.81|chevy|2013|A_8|
Q_8.38|policy|Q_8.38|2021-02-14|SD|654.03|66.24|447.86|2602155.23|chevy|1987|A_8|
Q_8.39|policy|Q_8.39|2021-04-05|TX|136.76|91.08|213.22|5628087.3|canoo|2000|A_8|
Q_8.40|policy|Q_8.40|2021-03-25|WI|772.91|46.75|559.27|934480.18|rivian|2020|A_8|
Q_8.41|policy|Q_8.41|2021-01-18|AZ|424.17|76.8|764.29|5460473.63|audi|1984|A_8|
Q_8.42|policy|Q_8.42|2021-09-01|TX|137.52|51.22|615.07|5861800.38|canoo|1985|A_8|
Q_8.43|policy|Q_8.43|2021-10-26|NH|832.29|53.85|671.14|3484580.73|ford|1987|A_8|
